trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
0,42,8,0.0002051338263087451,16,32,1,3,0.0,0.41922526233335633,0.10504413604127662
1,42,12,0.0003823475224675188,16,128,3,7,0.0,0.5825080339323742,0.21299640358062344
2,42,16,0.00853618986286683,16,64,1,7,0.1,0.49604057020689357,0.060247863951183936
3,42,4,0.00023426581058204064,16,32,3,5,0.1,0.4633118111352188,0.10147880545649288
4,42,12,0.0003646439558980723,16,128,3,7,0.30000000000000004,0.5337558578834385,0.0992897487590388
5,42,8,0.0001705053926026929,16,32,1,7,0.2,0.4675345828715942,0.12950563076385524
6,42,12,0.003482846706526885,32,32,1,3,0.4,0.42062235654317043,0.10289536053911423
7,42,12,0.00014254757044027455,16,32,3,7,0.2,0.5015672597662474,0.12668494069728914
8,42,8,0.000285673742984719,32,32,2,7,0.4,0.49971693143347645,0.16869484297207077
9,42,12,0.008781408196485976,16,32,1,3,0.1,0.4420393128667634,0.0857052917586397
10,42,8,0.0009486960387681202,32,64,2,3,0.0,0.47289551170235145,0.12389054303718727
11,42,16,0.003085473344630512,32,32,2,3,0.4,0.4371199814185392,0.12425360342137023
12,42,4,0.0020256685637234087,32,32,1,3,0.30000000000000004,0.47205821698337447,0.15130451625750002
13,42,8,0.0008657857585898337,32,32,1,3,0.30000000000000004,0.4323577994731684,0.10185221092252032
14,42,12,0.003624503431877557,32,128,1,5,0.2,0.5099925095025352,0.10171432899983417
15,42,8,0.0018263988895044737,32,64,2,3,0.0,0.4668347908803167,0.10103640000351276
16,42,4,0.0005887566238745413,16,32,1,3,0.4,0.43224148272002777,0.11518787499419456
17,42,16,0.003510202827782954,32,32,2,3,0.1,0.43364883055901854,0.111807765706839
18,42,12,0.00011352328147328891,16,128,1,5,0.30000000000000004,0.46968697295949235,0.14312204101195658
19,42,8,0.0016516444441349277,32,64,2,3,0.4,0.48486296731228423,0.09511194888572226
20,42,8,0.00430299534925144,16,32,1,3,0.0,0.4484274181291659,0.11484296306241176
21,42,4,0.0006123803492955895,16,32,1,3,0.4,0.4184422907212908,0.10304182129837805
22,42,4,0.0006504384639163525,16,32,1,3,0.4,0.43008095691864473,0.10837894684764564
23,42,4,0.0001970256274929137,16,32,1,3,0.30000000000000004,0.42376716161090405,0.1070253278733412
24,42,4,0.0004704271678092945,16,32,1,3,0.2,0.42862417849224094,0.10526454802504041
25,42,4,0.001370555804367278,16,32,1,5,0.4,0.4882296620369418,0.1256751082656863
