seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Amazonas,2022-01-24,1,0.5528219
42,1,2022,Antioquia,2022-01-24,1,-0.2109642
42,1,2022,Arauca,2022-01-24,1,-0.59334457
42,1,2022,Atlantico,2022-01-24,1,0.48973155
42,1,2022,Bogota d.c.,2022-01-24,1,-0.71549225
42,1,2022,Bolivar,2022-01-24,1,0.058401704
42,1,2022,Boyaca,2022-01-24,1,-0.68475616
42,1,2022,Caldas,2022-01-24,1,-0.07195991
42,1,2022,Caqueta,2022-01-24,1,-0.616545
42,1,2022,Casanare,2022-01-24,1,0.7223661
42,1,2022,Cauca,2022-01-24,1,-0.23353785
42,1,2022,Cesar,2022-01-24,1,-0.102990985
42,1,2022,Choco,2022-01-24,1,-0.12119961
42,1,2022,Cordoba,2022-01-24,1,0.3245206
42,1,2022,Cundinamarca,2022-01-24,1,-0.41273326
42,1,2022,Guainia,2022-01-24,1,-0.89916754
42,1,2022,Guajira,2022-01-24,1,0.25893176
42,1,2022,Guaviare,2022-01-24,1,-0.5051361
42,1,2022,Huila,2022-01-24,1,-0.054285645
42,1,2022,Magdalena,2022-01-24,1,0.26174593
42,1,2022,Meta,2022-01-24,1,0.08122325
42,1,2022,Narino,2022-01-24,1,0.024686575
42,1,2022,Norte De Santander,2022-01-24,1,-0.08472848
42,1,2022,Putumayo,2022-01-24,1,-0.23583412
42,1,2022,Quindio,2022-01-24,1,-0.26469982
42,1,2022,Risaralda,2022-01-24,1,-0.31155878
42,1,2022,Santander,2022-01-24,1,-0.22588459
42,1,2022,Sucre,2022-01-24,1,0.24138129
42,1,2022,Tolima,2022-01-24,1,-0.3072068
42,1,2022,Valle Del Cauca,2022-01-24,1,0.05122894
42,1,2022,Vaupes,2022-01-24,1,-0.070880085
42,1,2022,Vichada,2022-01-24,1,-0.4027282
42,1,2022,Amazonas,2022-01-24,2,0.007821798
42,1,2022,Antioquia,2022-01-24,2,-0.19227913
42,1,2022,Arauca,2022-01-24,2,-0.3651776
42,1,2022,Atlantico,2022-01-24,2,0.42342484
42,1,2022,Bogota d.c.,2022-01-24,2,-0.49664545
42,1,2022,Bolivar,2022-01-24,2,0.07156801
42,1,2022,Boyaca,2022-01-24,2,-0.35994533
42,1,2022,Caldas,2022-01-24,2,-0.38522664
42,1,2022,Caqueta,2022-01-24,2,-0.20194805
42,1,2022,Casanare,2022-01-24,2,0.564301
42,1,2022,Cauca,2022-01-24,2,0.11077815
42,1,2022,Cesar,2022-01-24,2,0.27198577
42,1,2022,Choco,2022-01-24,2,0.054679036
42,1,2022,Cordoba,2022-01-24,2,0.3779093
42,1,2022,Cundinamarca,2022-01-24,2,-0.4581589
42,1,2022,Guainia,2022-01-24,2,1.4619462
42,1,2022,Guajira,2022-01-24,2,-0.09695697
42,1,2022,Guaviare,2022-01-24,2,-0.47694713
42,1,2022,Huila,2022-01-24,2,0.10222447
42,1,2022,Magdalena,2022-01-24,2,0.057583272
42,1,2022,Meta,2022-01-24,2,0.11244351
42,1,2022,Narino,2022-01-24,2,0.06439853
42,1,2022,Norte De Santander,2022-01-24,2,-0.04700148
42,1,2022,Putumayo,2022-01-24,2,-0.3608272
42,1,2022,Quindio,2022-01-24,2,-0.33372515
42,1,2022,Risaralda,2022-01-24,2,0.02702877
42,1,2022,Santander,2022-01-24,2,-0.10143381
42,1,2022,Sucre,2022-01-24,2,0.2842188
42,1,2022,Tolima,2022-01-24,2,-0.4238172
42,1,2022,Valle Del Cauca,2022-01-24,2,0.05691892
42,1,2022,Vaupes,2022-01-24,2,-0.16715603
42,1,2022,Vichada,2022-01-24,2,0.11117649
42,1,2022,Amazonas,2022-01-24,3,-0.07372832
42,1,2022,Antioquia,2022-01-24,3,0.02452606
42,1,2022,Arauca,2022-01-24,3,-0.37956253
42,1,2022,Atlantico,2022-01-24,3,0.34473836
42,1,2022,Bogota d.c.,2022-01-24,3,-0.46434444
42,1,2022,Bolivar,2022-01-24,3,0.15924448
42,1,2022,Boyaca,2022-01-24,3,-0.57171214
42,1,2022,Caldas,2022-01-24,3,-0.25655594
42,1,2022,Caqueta,2022-01-24,3,-0.549838
42,1,2022,Casanare,2022-01-24,3,0.77188253
42,1,2022,Cauca,2022-01-24,3,0.05297193
42,1,2022,Cesar,2022-01-24,3,0.23549008
42,1,2022,Choco,2022-01-24,3,-0.16560918
42,1,2022,Cordoba,2022-01-24,3,0.1254707
42,1,2022,Cundinamarca,2022-01-24,3,-0.42471915
42,1,2022,Guainia,2022-01-24,3,1.4006307
42,1,2022,Guajira,2022-01-24,3,0.08391464
42,1,2022,Guaviare,2022-01-24,3,-0.5936753
42,1,2022,Huila,2022-01-24,3,-0.17500198
42,1,2022,Magdalena,2022-01-24,3,0.19184345
42,1,2022,Meta,2022-01-24,3,0.060608506
42,1,2022,Narino,2022-01-24,3,0.13044551
42,1,2022,Norte De Santander,2022-01-24,3,-0.06327605
42,1,2022,Putumayo,2022-01-24,3,-0.14700735
42,1,2022,Quindio,2022-01-24,3,-0.093054906
42,1,2022,Risaralda,2022-01-24,3,-0.1620762
42,1,2022,Santander,2022-01-24,3,-0.23360273
42,1,2022,Sucre,2022-01-24,3,0.21654892
42,1,2022,Tolima,2022-01-24,3,-0.32063684
42,1,2022,Valle Del Cauca,2022-01-24,3,-0.08717984
42,1,2022,Vaupes,2022-01-24,3,1.0032355
42,1,2022,Vichada,2022-01-24,3,-0.50604594
42,1,2022,Amazonas,2022-01-24,4,0.34764504
42,1,2022,Antioquia,2022-01-24,4,0.19177951
42,1,2022,Arauca,2022-01-24,4,-0.84864366
42,1,2022,Atlantico,2022-01-24,4,0.3530656
42,1,2022,Bogota d.c.,2022-01-24,4,-0.5046949
42,1,2022,Bolivar,2022-01-24,4,0.16862601
42,1,2022,Boyaca,2022-01-24,4,-0.62100375
42,1,2022,Caldas,2022-01-24,4,-0.23030445
42,1,2022,Caqueta,2022-01-24,4,0.1334697
42,1,2022,Casanare,2022-01-24,4,0.43516147
42,1,2022,Cauca,2022-01-24,4,-0.37039644
42,1,2022,Cesar,2022-01-24,4,-0.16893709
42,1,2022,Choco,2022-01-24,4,0.0443604
42,1,2022,Cordoba,2022-01-24,4,0.059444427
42,1,2022,Cundinamarca,2022-01-24,4,-0.24890712
42,1,2022,Guainia,2022-01-24,4,0.9964311
42,1,2022,Guajira,2022-01-24,4,0.13065946
42,1,2022,Guaviare,2022-01-24,4,-1.3534034
42,1,2022,Huila,2022-01-24,4,0.05743301
42,1,2022,Magdalena,2022-01-24,4,0.06334674
42,1,2022,Meta,2022-01-24,4,0.4352528
42,1,2022,Narino,2022-01-24,4,0.21396229
42,1,2022,Norte De Santander,2022-01-24,4,-0.41749287
42,1,2022,Putumayo,2022-01-24,4,-0.1572653
42,1,2022,Quindio,2022-01-24,4,-0.17666833
42,1,2022,Risaralda,2022-01-24,4,0.020170555
42,1,2022,Santander,2022-01-24,4,-0.15683153
42,1,2022,Sucre,2022-01-24,4,0.22551143
42,1,2022,Tolima,2022-01-24,4,-0.26037413
42,1,2022,Valle Del Cauca,2022-01-24,4,0.0052025914
42,1,2022,Vaupes,2022-01-24,4,-0.24204774
42,1,2022,Vichada,2022-01-24,4,-0.48543012
42,1,2022,Amazonas,2022-01-31,1,-0.03739381
42,1,2022,Antioquia,2022-01-31,1,-0.22551084
42,1,2022,Arauca,2022-01-31,1,-0.5579126
42,1,2022,Atlantico,2022-01-31,1,0.5014806
42,1,2022,Bogota d.c.,2022-01-31,1,-0.65929836
42,1,2022,Bolivar,2022-01-31,1,0.06037247
42,1,2022,Boyaca,2022-01-31,1,-0.4013212
42,1,2022,Caldas,2022-01-31,1,-0.15479133
42,1,2022,Caqueta,2022-01-31,1,-0.17865622
42,1,2022,Casanare,2022-01-31,1,0.61685514
42,1,2022,Cauca,2022-01-31,1,-0.008798629
42,1,2022,Cesar,2022-01-31,1,0.29441464
42,1,2022,Choco,2022-01-31,1,0.093869925
42,1,2022,Cordoba,2022-01-31,1,0.36288345
42,1,2022,Cundinamarca,2022-01-31,1,-0.30932495
42,1,2022,Guainia,2022-01-31,1,1.7408442
42,1,2022,Guajira,2022-01-31,1,0.1835084
42,1,2022,Guaviare,2022-01-31,1,-0.42001957
42,1,2022,Huila,2022-01-31,1,0.1728648
42,1,2022,Magdalena,2022-01-31,1,0.18019032
42,1,2022,Meta,2022-01-31,1,0.06392729
42,1,2022,Narino,2022-01-31,1,-0.030164897
42,1,2022,Norte De Santander,2022-01-31,1,-0.049118876
42,1,2022,Putumayo,2022-01-31,1,-0.33175647
42,1,2022,Quindio,2022-01-31,1,-0.25044954
42,1,2022,Risaralda,2022-01-31,1,0.09384018
42,1,2022,Santander,2022-01-31,1,0.053927243
42,1,2022,Sucre,2022-01-31,1,0.28732848
42,1,2022,Tolima,2022-01-31,1,-0.4287016
42,1,2022,Valle Del Cauca,2022-01-31,1,0.121978045
42,1,2022,Vaupes,2022-01-31,1,-0.06264195
42,1,2022,Vichada,2022-01-31,1,0.16779551
42,1,2022,Amazonas,2022-01-31,2,-0.32847834
42,1,2022,Antioquia,2022-01-31,2,-0.26682225
42,1,2022,Arauca,2022-01-31,2,-0.2727237
42,1,2022,Atlantico,2022-01-31,2,0.17370558
42,1,2022,Bogota d.c.,2022-01-31,2,-0.58460164
42,1,2022,Bolivar,2022-01-31,2,0.18721914
42,1,2022,Boyaca,2022-01-31,2,-0.5958159
42,1,2022,Caldas,2022-01-31,2,-0.20214432
42,1,2022,Caqueta,2022-01-31,2,-0.30203706
42,1,2022,Casanare,2022-01-31,2,0.8266375
42,1,2022,Cauca,2022-01-31,2,0.16291338
42,1,2022,Cesar,2022-01-31,2,0.2880808
42,1,2022,Choco,2022-01-31,2,-0.2496112
42,1,2022,Cordoba,2022-01-31,2,0.16489464
42,1,2022,Cundinamarca,2022-01-31,2,-0.34597653
42,1,2022,Guainia,2022-01-31,2,1.7197483
42,1,2022,Guajira,2022-01-31,2,0.11425936
42,1,2022,Guaviare,2022-01-31,2,-0.3341455
42,1,2022,Huila,2022-01-31,2,0.07431853
42,1,2022,Magdalena,2022-01-31,2,0.21243197
42,1,2022,Meta,2022-01-31,2,0.17396092
42,1,2022,Narino,2022-01-31,2,0.24023321
42,1,2022,Norte De Santander,2022-01-31,2,-0.01758039
42,1,2022,Putumayo,2022-01-31,2,0.1002537
42,1,2022,Quindio,2022-01-31,2,-0.13660611
42,1,2022,Risaralda,2022-01-31,2,-0.23038135
42,1,2022,Santander,2022-01-31,2,-0.2546216
42,1,2022,Sucre,2022-01-31,2,0.1347382
42,1,2022,Tolima,2022-01-31,2,-0.28934726
42,1,2022,Valle Del Cauca,2022-01-31,2,0.016101062
42,1,2022,Vaupes,2022-01-31,2,1.0804172
42,1,2022,Vichada,2022-01-31,2,-0.37012517
42,1,2022,Amazonas,2022-01-31,3,0.21562791
