trial,seed,window_size,learning_rate,batch_size,dropout,d_model,n_heads,n_layers,dim_ff,max_lag,rmse_mean,rmse_std
0,42,8,0.0002051338263087451,16,0.4,64,2,1,256,5,0.42465888494172005,0.08908558920116488
1,42,8,0.0005404103854647331,32,0.0,64,2,4,64,2,0.433580534444098,0.10722883371573694
2,42,4,0.00011715937392307068,16,0.30000000000000004,128,4,4,256,2,0.42623504246349087,0.08215068641449175
3,42,16,0.00034889766548903674,16,0.1,128,4,1,128,7,0.4481591069913092,0.1092405739961865
4,42,4,0.005323617594751502,16,0.0,128,4,1,128,7,0.4651278435424262,0.07551887326429124
5,42,8,0.00016435497475111326,32,0.1,64,4,1,256,7,0.4440410536249493,0.1276947880694332
6,42,8,0.006097025297491433,32,0.4,32,8,1,64,2,0.4219230665355577,0.0962667413682851
7,42,8,0.0025470526233391183,32,0.4,64,8,3,256,3,0.455925333449754,0.09591048107948093
8,42,12,0.0022093834415066287,16,0.30000000000000004,128,8,2,256,6,0.47681835257246946,0.08795523698330783
9,42,16,0.00022321987366901572,16,0.4,64,2,3,64,3,0.4198746130039334,0.1091766885814633
10,42,16,0.0008844120332118486,16,0.2,32,2,3,64,4,0.4317626499773028,0.13227614166906293
11,42,16,0.008611382274356353,32,0.4,32,8,2,64,3,0.42071763964832504,0.12021749248486031
12,42,16,0.001957550079907452,32,0.30000000000000004,32,8,2,64,4,0.424477016006809,0.11706730192597081
13,42,16,0.009244113577377314,32,0.4,32,2,3,64,4,0.44024498936664164,0.1421939617105179
14,42,16,0.000973838962225167,32,0.30000000000000004,64,8,2,64,3,0.41686283436690713,0.1094441522353497
15,42,12,0.0004719379380299789,16,0.2,64,2,3,64,3,0.4503157588156818,0.11160869747329827
16,42,16,0.0010335240648320424,32,0.30000000000000004,64,2,2,64,5,0.40669310624812544,0.10533530661039739
17,42,16,0.0014857182261913736,32,0.30000000000000004,64,8,2,128,5,0.4255352467761269,0.10616058261965124
18,42,16,0.0009365835212584874,32,0.2,64,8,2,64,8,0.41778413193870906,0.10836141147480399
19,42,4,0.0036212324598248868,32,0.2,64,2,2,64,6,0.44035732605127365,0.11295290871588119
20,42,12,0.0011968026831389194,32,0.30000000000000004,64,8,2,128,6,0.414845442828845,0.09815460336635054
21,42,12,0.001196153369389097,32,0.30000000000000004,64,8,2,128,6,0.4184561813588877,0.10101834534223174
22,42,12,0.0006582286998957471,32,0.30000000000000004,64,8,2,128,5,0.41793990050903185,0.11218980301779062
23,42,12,0.0014717613731196168,32,0.30000000000000004,64,8,2,128,5,0.4254379181696675,0.10224226912829913
24,42,12,0.0007742073473309193,32,0.1,64,8,3,128,8,0.42657066297258944,0.11782198614267886
25,42,16,0.0003891532569439433,32,0.30000000000000004,64,2,2,64,6,0.41418280396548135,0.11274412295627875
26,42,16,0.0003396181782067003,32,0.2,64,2,1,128,6,0.4192994275601451,0.11721554958006151
27,42,12,0.00034458577729997765,32,0.30000000000000004,64,2,2,64,7,0.4211892659082281,0.11888820211151009
28,42,4,0.0004712336198584945,32,0.2,128,2,3,64,6,0.42540125298377035,0.09802835003832532
29,42,16,0.00020595093280201707,32,0.30000000000000004,64,2,1,128,5,0.4239617167068193,0.11585929765260003
0,42,8,0.0002051338263087451,16,0.4,64,2,1,256,5,0.42465888494172005,0.08908558920116488
1,42,8,0.0005404103854647331,32,0.0,64,2,4,64,2,0.433580534444098,0.10722883371573694
2,42,4,0.00011715937392307068,16,0.30000000000000004,128,4,4,256,2,0.42623504246349087,0.08215068641449175
3,42,16,0.00034889766548903674,16,0.1,128,4,1,128,7,0.4481591069913092,0.1092405739961865
4,42,4,0.005323617594751502,16,0.0,128,4,1,128,7,0.4651278435424262,0.07551887326429124
5,42,8,0.00016435497475111326,32,0.1,64,4,1,256,7,0.4440410536249493,0.1276947880694332
6,42,8,0.006097025297491433,32,0.4,32,8,1,64,2,0.4219230665355577,0.0962667413682851
7,42,8,0.0025470526233391183,32,0.4,64,8,3,256,3,0.455925333449754,0.09591048107948093
8,42,12,0.0022093834415066287,16,0.30000000000000004,128,8,2,256,6,0.47681835257246946,0.08795523698330783
9,42,16,0.00022321987366901572,16,0.4,64,2,3,64,3,0.4198746130039334,0.1091766885814633
10,42,16,0.0008844120332118486,16,0.2,32,2,3,64,4,0.4317626499773028,0.13227614166906293
11,42,16,0.008611382274356353,32,0.4,32,8,2,64,3,0.42071763964832504,0.12021749248486031
12,42,16,0.001957550079907452,32,0.30000000000000004,32,8,2,64,4,0.424477016006809,0.11706730192597081
13,42,16,0.009244113577377314,32,0.4,32,2,3,64,4,0.44024498936664164,0.1421939617105179
14,42,16,0.000973838962225167,32,0.30000000000000004,64,8,2,64,3,0.41686283436690713,0.1094441522353497
15,42,12,0.0004719379380299789,16,0.2,64,2,3,64,3,0.4503157588156818,0.11160869747329827
16,42,16,0.0010335240648320424,32,0.30000000000000004,64,2,2,64,5,0.40669310624812544,0.10533530661039739
17,42,16,0.0014857182261913736,32,0.30000000000000004,64,8,2,128,5,0.4255352467761269,0.10616058261965124
18,42,16,0.0009365835212584874,32,0.2,64,8,2,64,8,0.41778413193870906,0.10836141147480399
19,42,4,0.0036212324598248868,32,0.2,64,2,2,64,6,0.44035732605127365,0.11295290871588119
20,42,12,0.0011968026831389194,32,0.30000000000000004,64,8,2,128,6,0.414845442828845,0.09815460336635054
21,42,12,0.001196153369389097,32,0.30000000000000004,64,8,2,128,6,0.4184561813588877,0.10101834534223174
22,42,12,0.0006582286998957471,32,0.30000000000000004,64,8,2,128,5,0.41793990050903185,0.11218980301779062
23,42,12,0.0014717613731196168,32,0.30000000000000004,64,8,2,128,5,0.4254379181696675,0.10224226912829913
24,42,12,0.0007742073473309193,32,0.1,64,8,3,128,8,0.42657066297258944,0.11782198614267886
25,42,16,0.0003891532569439433,32,0.30000000000000004,64,2,2,64,6,0.41418280396548135,0.11274412295627875
26,42,16,0.0003396181782067003,32,0.2,64,2,1,128,6,0.4192994275601451,0.11721554958006151
27,42,12,0.00034458577729997765,32,0.30000000000000004,64,2,2,64,7,0.4211892659082281,0.11888820211151009
28,42,4,0.0004712336198584945,32,0.2,128,2,3,64,6,0.42540125298377035,0.09802835003832532
29,42,16,0.00020595093280201707,32,0.30000000000000004,64,2,1,128,5,0.4239617167068193,0.11585929765260003
0,123,4,0.0027475015086811214,32,0.30000000000000004,32,2,2,64,5,0.4275800376546551,0.09611815710033945
1,123,12,0.0016674277362987882,16,0.1,128,4,2,256,8,0.4519115369701732,0.08183663842506998
2,123,4,0.00043109299276821524,32,0.1,64,8,3,64,4,0.42983212775169877,0.1020363126672179
3,123,8,0.0014855015357486878,32,0.4,64,4,4,128,6,0.4389475789075043,0.10607855163880076
4,123,16,0.0004340430961502546,16,0.1,32,8,3,64,6,0.4287863927439106,0.12904444197790677
