seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Amazonas,2022-04-18,1,0.6522863
42,1,2022,Antioquia,2022-04-18,1,-0.025200993
42,1,2022,Arauca,2022-04-18,1,0.8303752
42,1,2022,Atlantico,2022-04-18,1,-0.27426457
42,1,2022,Bogota d.c.,2022-04-18,1,0.024620622
42,1,2022,Bolivar,2022-04-18,1,0.26170313
42,1,2022,Boyaca,2022-04-18,1,0.0051676333
42,1,2022,Caldas,2022-04-18,1,0.2757721
42,1,2022,Caqueta,2022-04-18,1,-0.22209263
42,1,2022,Casanare,2022-04-18,1,0.08609295
42,1,2022,Cauca,2022-04-18,1,-0.12083277
42,1,2022,Cesar,2022-04-18,1,0.2405107
42,1,2022,Choco,2022-04-18,1,-0.24432284
42,1,2022,Cordoba,2022-04-18,1,0.37616003
42,1,2022,Cundinamarca,2022-04-18,1,0.047402665
42,1,2022,Guainia,2022-04-18,1,0.46632397
42,1,2022,Guajira,2022-04-18,1,-0.20567715
42,1,2022,Guaviare,2022-04-18,1,-1.7839595
42,1,2022,Huila,2022-04-18,1,-0.2005415
42,1,2022,Magdalena,2022-04-18,1,-0.1676073
42,1,2022,Meta,2022-04-18,1,0.049104333
42,1,2022,Narino,2022-04-18,1,0.142254
42,1,2022,Norte De Santander,2022-04-18,1,0.028187275
42,1,2022,Putumayo,2022-04-18,1,-0.3637706
42,1,2022,Quindio,2022-04-18,1,-0.13457565
42,1,2022,Risaralda,2022-04-18,1,0.022368982
42,1,2022,Santander,2022-04-18,1,0.12588471
42,1,2022,Sucre,2022-04-18,1,0.106941104
42,1,2022,Tolima,2022-04-18,1,0.13518274
42,1,2022,Valle Del Cauca,2022-04-18,1,-0.09286821
42,1,2022,Vaupes,2022-04-18,1,-0.032252207
42,1,2022,Vichada,2022-04-18,1,0.92403376
42,1,2022,Amazonas,2022-04-18,2,0.8232
42,1,2022,Antioquia,2022-04-18,2,-0.021278173
42,1,2022,Arauca,2022-04-18,2,0.8906798
42,1,2022,Atlantico,2022-04-18,2,-0.17255479
