seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Amazonas,2022-04-18,1,1.0507653
42,1,2022,Antioquia,2022-04-18,1,-0.08546123
42,1,2022,Arauca,2022-04-18,1,-0.41416764
42,1,2022,Atlantico,2022-04-18,1,0.13263369
42,1,2022,Bogota d.c.,2022-04-18,1,-0.083565906
42,1,2022,Bolivar,2022-04-18,1,0.44813854
42,1,2022,Boyaca,2022-04-18,1,-0.03682244
42,1,2022,Caldas,2022-04-18,1,-0.03233266
42,1,2022,Caqueta,2022-04-18,1,0.57491183
42,1,2022,Casanare,2022-04-18,1,0.5648432
42,1,2022,Cauca,2022-04-18,1,0.04041475
42,1,2022,Cesar,2022-04-18,1,0.2717228
42,1,2022,Choco,2022-04-18,1,0.9488736
42,1,2022,Cordoba,2022-04-18,1,0.51897866
42,1,2022,Cundinamarca,2022-04-18,1,-0.64452827
42,1,2022,Guainia,2022-04-18,1,-0.124046564
42,1,2022,Guajira,2022-04-18,1,-0.018743575
42,1,2022,Guaviare,2022-04-18,1,-0.2634889
42,1,2022,Huila,2022-04-18,1,-1.2291971
42,1,2022,Magdalena,2022-04-18,1,-0.20302409
42,1,2022,Meta,2022-04-18,1,-0.7620666
42,1,2022,Narino,2022-04-18,1,0.5477936
42,1,2022,Norte De Santander,2022-04-18,1,-0.45789444
42,1,2022,Putumayo,2022-04-18,1,-0.12392306
42,1,2022,Quindio,2022-04-18,1,-0.6059716
42,1,2022,Risaralda,2022-04-18,1,0.15717386
42,1,2022,Santander,2022-04-18,1,-0.97678113
42,1,2022,Sucre,2022-04-18,1,0.5888406
42,1,2022,Tolima,2022-04-18,1,-0.8839799
42,1,2022,Valle Del Cauca,2022-04-18,1,-0.2463957
42,1,2022,Vaupes,2022-04-18,1,-0.7847359
42,1,2022,Vichada,2022-04-18,1,-0.8443846
42,1,2022,Amazonas,2022-04-18,2,0.16962492
42,1,2022,Antioquia,2022-04-18,2,0.047704518
42,1,2022,Arauca,2022-04-18,2,-0.7935231
42,1,2022,Atlantico,2022-04-18,2,0.31243277
42,1,2022,Bogota d.c.,2022-04-18,2,-0.120714575
42,1,2022,Bolivar,2022-04-18,2,0.6945642
42,1,2022,Boyaca,2022-04-18,2,-0.35404494
42,1,2022,Caldas,2022-04-18,2,0.12670532
42,1,2022,Caqueta,2022-04-18,2,1.2181418
42,1,2022,Casanare,2022-04-18,2,0.36292124
42,1,2022,Cauca,2022-04-18,2,0.50718963
