seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Amazonas,2022-02-21,1,1.2771708
42,1,2022,Antioquia,2022-02-21,1,-0.09680104
42,1,2022,Arauca,2022-02-21,1,-0.9938282
42,1,2022,Atlantico,2022-02-21,1,0.68518466
42,1,2022,Bogota d.c.,2022-02-21,1,-0.39151862
42,1,2022,Bolivar,2022-02-21,1,0.6307341
42,1,2022,Boyaca,2022-02-21,1,-0.52132624
42,1,2022,Caldas,2022-02-21,1,-0.3956515
42,1,2022,Caqueta,2022-02-21,1,0.79399014
42,1,2022,Casanare,2022-02-21,1,0.9621842
42,1,2022,Cauca,2022-02-21,1,-0.07101102
42,1,2022,Cesar,2022-02-21,1,0.26723444
42,1,2022,Choco,2022-02-21,1,0.3156577
42,1,2022,Cordoba,2022-02-21,1,0.2928204
42,1,2022,Cundinamarca,2022-02-21,1,-0.5437614
42,1,2022,Guainia,2022-02-21,1,0.38980353
42,1,2022,Guajira,2022-02-21,1,0.79865134
42,1,2022,Guaviare,2022-02-21,1,-2.1563916
42,1,2022,Huila,2022-02-21,1,-0.91718256
42,1,2022,Magdalena,2022-02-21,1,-0.01367861
42,1,2022,Meta,2022-02-21,1,-0.67351556
42,1,2022,Narino,2022-02-21,1,0.3507567
42,1,2022,Norte De Santander,2022-02-21,1,-0.3783729
42,1,2022,Putumayo,2022-02-21,1,0.59861875
42,1,2022,Quindio,2022-02-21,1,-0.6387989
42,1,2022,Risaralda,2022-02-21,1,-0.12859343
42,1,2022,Santander,2022-02-21,1,-0.6609293
42,1,2022,Sucre,2022-02-21,1,0.6541396
42,1,2022,Tolima,2022-02-21,1,-0.33067048
42,1,2022,Valle Del Cauca,2022-02-21,1,0.19256431
42,1,2022,Vaupes,2022-02-21,1,-0.36851472
42,1,2022,Vichada,2022-02-21,1,-0.8211275
42,1,2022,Amazonas,2022-02-21,2,1.3565245
42,1,2022,Antioquia,2022-02-21,2,0.14081183
42,1,2022,Arauca,2022-02-21,2,-0.66039246
42,1,2022,Atlantico,2022-02-21,2,0.46435708
42,1,2022,Bogota d.c.,2022-02-21,2,-0.13982044
42,1,2022,Bolivar,2022-02-21,2,0.6405766
42,1,2022,Boyaca,2022-02-21,2,-0.3051885
42,1,2022,Caldas,2022-02-21,2,-0.27689812
42,1,2022,Caqueta,2022-02-21,2,0.83818465
42,1,2022,Casanare,2022-02-21,2,1.2951218
42,1,2022,Cauca,2022-02-21,2,0.111647666
42,1,2022,Cesar,2022-02-21,2,0.2824993
42,1,2022,Choco,2022-02-21,2,0.88014096
42,1,2022,Cordoba,2022-02-21,2,0.086565375
42,1,2022,Cundinamarca,2022-02-21,2,-0.52275807
42,1,2022,Guainia,2022-02-21,2,1.1372411
42,1,2022,Guajira,2022-02-21,2,0.51877344
42,1,2022,Guaviare,2022-02-21,2,-2.2618191
42,1,2022,Huila,2022-02-21,2,-0.6681235
42,1,2022,Magdalena,2022-02-21,2,-0.12307328
42,1,2022,Meta,2022-02-21,2,-0.4211855
42,1,2022,Narino,2022-02-21,2,0.045027733
42,1,2022,Norte De Santander,2022-02-21,2,-0.074362636
42,1,2022,Putumayo,2022-02-21,2,0.37477708
42,1,2022,Quindio,2022-02-21,2,-0.7773976
42,1,2022,Risaralda,2022-02-21,2,-0.3444762
42,1,2022,Santander,2022-02-21,2,-0.68093324
42,1,2022,Sucre,2022-02-21,2,0.49086618
42,1,2022,Tolima,2022-02-21,2,-0.58512
42,1,2022,Valle Del Cauca,2022-02-21,2,0.23550731
42,1,2022,Vaupes,2022-02-21,2,-0.28784126
42,1,2022,Vichada,2022-02-21,2,-0.7507051
42,1,2022,Amazonas,2022-02-21,3,1.7768204
42,1,2022,Antioquia,2022-02-21,3,0.03919229
42,1,2022,Arauca,2022-02-21,3,-1.0675294
42,1,2022,Atlantico,2022-02-21,3,0.3633455
42,1,2022,Bogota d.c.,2022-02-21,3,-0.1894306
42,1,2022,Bolivar,2022-02-21,3,0.4022118
42,1,2022,Boyaca,2022-02-21,3,-0.17562342
42,1,2022,Caldas,2022-02-21,3,-0.2815122
42,1,2022,Caqueta,2022-02-21,3,0.6397629
42,1,2022,Casanare,2022-02-21,3,0.98625183
42,1,2022,Cauca,2022-02-21,3,0.17474718
42,1,2022,Cesar,2022-02-21,3,0.6722182
42,1,2022,Choco,2022-02-21,3,0.25340858
42,1,2022,Cordoba,2022-02-21,3,0.122777164
42,1,2022,Cundinamarca,2022-02-21,3,-0.2996583
42,1,2022,Guainia,2022-02-21,3,1.4262122
42,1,2022,Guajira,2022-02-21,3,0.5100638
42,1,2022,Guaviare,2022-02-21,3,-1.5001748
42,1,2022,Huila,2022-02-21,3,-0.8814353
42,1,2022,Magdalena,2022-02-21,3,-0.2758341
42,1,2022,Meta,2022-02-21,3,-0.46013927
42,1,2022,Narino,2022-02-21,3,0.48387724
42,1,2022,Norte De Santander,2022-02-21,3,-0.38951313
42,1,2022,Putumayo,2022-02-21,3,0.40520692
42,1,2022,Quindio,2022-02-21,3,-0.39878574
42,1,2022,Risaralda,2022-02-21,3,-0.08807647
42,1,2022,Santander,2022-02-21,3,-0.50704515
42,1,2022,Sucre,2022-02-21,3,0.82594377
42,1,2022,Tolima,2022-02-21,3,-0.5855346
42,1,2022,Valle Del Cauca,2022-02-21,3,0.14844632
42,1,2022,Vaupes,2022-02-21,3,-0.20097023
42,1,2022,Vichada,2022-02-21,3,-0.8565887
42,1,2022,Amazonas,2022-02-21,4,1.2799605
42,1,2022,Antioquia,2022-02-21,4,-0.06951454
42,1,2022,Arauca,2022-02-21,4,-0.9004119
42,1,2022,Atlantico,2022-02-21,4,0.38466942
42,1,2022,Bogota d.c.,2022-02-21,4,-0.2935956
42,1,2022,Bolivar,2022-02-21,4,0.6784183
42,1,2022,Boyaca,2022-02-21,4,0.016457736
42,1,2022,Caldas,2022-02-21,4,-0.17263958
42,1,2022,Caqueta,2022-02-21,4,1.2501969
42,1,2022,Casanare,2022-02-21,4,1.5051824
42,1,2022,Cauca,2022-02-21,4,0.07281184
42,1,2022,Cesar,2022-02-21,4,0.2938305
42,1,2022,Choco,2022-02-21,4,0.9149102
42,1,2022,Cordoba,2022-02-21,4,0.28682417
42,1,2022,Cundinamarca,2022-02-21,4,-0.3411316
42,1,2022,Guainia,2022-02-21,4,0.42884254
42,1,2022,Guajira,2022-02-21,4,0.43754977
42,1,2022,Guaviare,2022-02-21,4,-0.31647766
42,1,2022,Huila,2022-02-21,4,-0.78352964
42,1,2022,Magdalena,2022-02-21,4,-0.08124566
42,1,2022,Meta,2022-02-21,4,-0.64085054
42,1,2022,Narino,2022-02-21,4,0.25760397
42,1,2022,Norte De Santander,2022-02-21,4,-0.51594067
42,1,2022,Putumayo,2022-02-21,4,0.4425596
42,1,2022,Quindio,2022-02-21,4,-0.93324274
42,1,2022,Risaralda,2022-02-21,4,0.16986935
42,1,2022,Santander,2022-02-21,4,-0.8170081
42,1,2022,Sucre,2022-02-21,4,0.738472
42,1,2022,Tolima,2022-02-21,4,-0.29118955
42,1,2022,Valle Del Cauca,2022-02-21,4,0.30569762
42,1,2022,Vaupes,2022-02-21,4,-0.5105046
42,1,2022,Vichada,2022-02-21,4,-0.8759135
42,1,2022,Amazonas,2022-02-28,1,1.1555616
42,1,2022,Antioquia,2022-02-28,1,0.07216126
42,1,2022,Arauca,2022-02-28,1,-0.8329167
42,1,2022,Atlantico,2022-02-28,1,0.5525267
42,1,2022,Bogota d.c.,2022-02-28,1,-0.37064987
42,1,2022,Bolivar,2022-02-28,1,0.572611
42,1,2022,Boyaca,2022-02-28,1,-0.26453796
42,1,2022,Caldas,2022-02-28,1,-0.15079066
42,1,2022,Caqueta,2022-02-28,1,0.6945431
42,1,2022,Casanare,2022-02-28,1,0.9640523
42,1,2022,Cauca,2022-02-28,1,0.22435641
42,1,2022,Cesar,2022-02-28,1,0.21203327
42,1,2022,Choco,2022-02-28,1,0.90415287
42,1,2022,Cordoba,2022-02-28,1,0.21569759
42,1,2022,Cundinamarca,2022-02-28,1,-0.5593386
42,1,2022,Guainia,2022-02-28,1,1.3453951
42,1,2022,Guajira,2022-02-28,1,0.52170604
42,1,2022,Guaviare,2022-02-28,1,-2.1559439
42,1,2022,Huila,2022-02-28,1,-0.80890524
42,1,2022,Magdalena,2022-02-28,1,-0.17442977
42,1,2022,Meta,2022-02-28,1,-0.7575414
42,1,2022,Narino,2022-02-28,1,-0.065342546
42,1,2022,Norte De Santander,2022-02-28,1,0.037507534
42,1,2022,Putumayo,2022-02-28,1,0.3094871
42,1,2022,Quindio,2022-02-28,1,-0.50016576
42,1,2022,Risaralda,2022-02-28,1,-0.119794115
42,1,2022,Santander,2022-02-28,1,-0.6227417
42,1,2022,Sucre,2022-02-28,1,0.42205948
42,1,2022,Tolima,2022-02-28,1,-0.5774953
42,1,2022,Valle Del Cauca,2022-02-28,1,0.14935946
42,1,2022,Vaupes,2022-02-28,1,-0.4324569
42,1,2022,Vichada,2022-02-28,1,-0.86301935
42,1,2022,Amazonas,2022-02-28,2,1.551613
42,1,2022,Antioquia,2022-02-28,2,0.08141518
42,1,2022,Arauca,2022-02-28,2,-0.89896905
42,1,2022,Atlantico,2022-02-28,2,0.48557806
42,1,2022,Bogota d.c.,2022-02-28,2,-0.17024013
42,1,2022,Bolivar,2022-02-28,2,0.45277694
