trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
0,42,8,0.0002051338263087451,16,32,1,3,0.0,0.7020738918478192,0.18641692310541033
1,42,12,0.0003823475224675188,16,128,3,7,0.0,0.6843161100453679,0.16584141102641814
2,42,16,0.00853618986286683,16,64,1,7,0.1,0.8042434475465106,0.2936694580125912
3,42,4,0.00023426581058204064,16,32,3,5,0.1,0.6872289199381351,0.20149923669919387
4,42,12,0.0003646439558980723,16,128,3,7,0.30000000000000004,0.6531099211358199,0.18930071119922753
5,42,8,0.0001705053926026929,16,32,1,7,0.2,0.6892901153255121,0.2132767124520814
6,42,12,0.003482846706526885,32,32,1,3,0.4,0.6148429280736591,0.18610953649690248
7,42,12,0.00014254757044027455,16,32,3,7,0.2,0.6985052125450247,0.20483181076107715
8,42,8,0.000285673742984719,32,32,2,7,0.4,0.6539274884641356,0.19723180797125264
9,42,12,0.008781408196485976,16,32,1,3,0.1,0.7734438711823665,0.28954098452276517
10,42,16,0.002510441004250465,32,64,2,3,0.4,0.6304695397611421,0.21062838181557078
11,42,16,0.003085473344630512,32,64,2,3,0.4,0.6331783361527528,0.21197569285658222
12,42,16,0.0017522967285273662,32,64,2,3,0.4,0.62203872637778,0.1805065182467023
13,42,4,0.0012228319210925516,32,64,2,3,0.30000000000000004,0.6576212034053087,0.1548775654552615
14,42,16,0.0027324685838808938,32,64,1,5,0.30000000000000004,0.6147893672664527,0.1834698678767731
15,42,12,0.004759817476669027,32,128,1,5,0.30000000000000004,0.7809224198820427,0.24543122205658302
16,42,16,0.0006309012658288583,32,64,1,5,0.30000000000000004,0.6292027151299981,0.18194622887889128
17,42,4,0.005028744525212851,32,64,1,5,0.2,0.6478456892722543,0.15825216781624404
18,42,12,0.0008118911617116417,32,32,1,5,0.30000000000000004,0.6432085313912687,0.191442811570021
19,42,16,0.0014857182261913736,32,128,2,5,0.4,0.6278960706404259,0.19416037430604832
20,42,16,0.003917034330357435,32,64,1,3,0.30000000000000004,0.6322586696448353,0.1885969922907069
21,42,16,0.0020219450031240776,32,64,2,3,0.4,0.6255923329945244,0.20723522243666917
22,42,16,0.0019061388199146001,32,64,2,3,0.4,0.6236787608368272,0.19131717129808015
23,42,16,0.00605531519923004,32,64,1,3,0.4,0.6513475171604781,0.1970422564330267
24,42,16,0.0008295213459645249,32,64,1,3,0.30000000000000004,0.6386704585638151,0.1925144584878408
25,42,12,0.0031013083418224906,32,32,2,5,0.4,0.6217831712563248,0.16795860873553567
26,42,12,0.003046130684202062,32,32,1,5,0.30000000000000004,0.6409284065830249,0.16902672940553223
27,42,12,0.006617615993454368,32,32,2,5,0.4,0.6282123042608324,0.18481236612843224
28,42,12,0.003303360629579859,32,32,2,5,0.30000000000000004,0.6609402228372586,0.16940886851068682
29,42,8,0.002510924992209007,32,32,1,5,0.2,0.647223823986868,0.1688154408238608
0,123,4,0.0027475015086811214,32,32,2,3,0.1,0.6801690630509976,0.152573045132141
1,123,4,0.00115785766280239,32,32,1,3,0.30000000000000004,0.6457027331042485,0.15413592044873267
2,123,16,0.0007106578875225894,32,64,2,7,0.4,0.6231114405446462,0.17710518448511836
3,123,12,0.0016818569396284966,32,32,1,7,0.2,0.6567994354603865,0.2058375241985621
4,123,16,0.004838211787792581,32,128,1,3,0.0,0.7837043661912192,0.24670029004255187
5,123,4,0.002460702200023734,32,128,3,3,0.1,0.6592778439793809,0.14920283808589446
6,123,8,0.0015358677921079923,16,32,2,3,0.1,0.6598582351111922,0.15563300470317212
7,123,16,0.0005884040083055758,32,64,2,3,0.4,0.6400337456673288,0.19937258117131482
8,123,4,0.006365356696810573,16,64,3,7,0.4,0.7134092684312763,0.14479179698943626
9,123,16,0.0012460261167843497,32,32,3,3,0.4,0.6234910502392809,0.18025784898106859
10,123,12,0.00012409445777823762,16,64,2,5,0.30000000000000004,0.6677467774848979,0.19915499634607126
11,123,16,0.00041751018547044353,32,64,3,7,0.4,0.6448937445709882,0.226413601432479
12,123,16,0.00035957234155045915,32,32,3,5,0.30000000000000004,0.6559830218390535,0.21000481987409453
13,123,16,0.00019064914118289525,32,64,2,7,0.4,0.6333890581321655,0.193553618602975
14,123,8,0.0006882500400970826,16,128,3,7,0.30000000000000004,0.6574301088404448,0.16923043627279544
15,123,16,0.00026454770509855155,32,32,2,5,0.2,0.6950796820952544,0.19660952733286294
16,123,16,0.0008266278331627325,32,64,2,7,0.2,0.6397754274856006,0.19265116014830252
17,123,16,0.003825001630909023,32,32,3,7,0.4,0.6651608832888425,0.22815185055421536
18,123,8,0.008115160052702738,16,64,1,3,0.30000000000000004,0.8233508677607428,0.3211071436315095
19,123,12,0.0011704488260566904,32,128,2,5,0.4,0.6228178600201436,0.17038084348835753
20,123,12,0.0004958189854009428,32,128,2,5,0.0,0.6538483999123991,0.18023372481138467
21,123,12,0.0013028139322517056,32,128,2,5,0.4,0.6554998924065979,0.19739916993941414
22,123,12,0.000940860699522191,32,128,2,5,0.4,0.6586240807625238,0.21266231409867611
23,123,12,0.0020704572571173725,32,128,3,5,0.30000000000000004,0.6430940160569111,0.17616419248449877
24,123,16,0.000927804879248181,32,128,2,5,0.4,0.6294926670691207,0.18750248649049558
25,123,16,0.00030802029100255825,32,32,1,3,0.30000000000000004,0.66990791845746,0.22285199272304743
26,123,12,0.0033365960182675904,16,64,3,7,0.4,0.6404176683536474,0.19382966107251023
27,123,8,0.0006648070912081528,32,64,2,3,0.30000000000000004,0.6782433757160656,0.1957174257269622
28,123,16,0.002068634135856093,32,128,2,5,0.4,0.6330750335665166,0.19809565309369004
29,123,4,0.0012679776734366625,32,32,2,7,0.1,0.6607141594537495,0.17111838847074226
0,2024,8,0.00025706201341357387,32,32,1,7,0.30000000000000004,0.6936118646752719,0.217858259498296
1,2024,16,0.0029616462592929973,16,32,3,3,0.1,0.6838749557916742,0.2219805122744421
2,2024,8,0.005848943222502433,32,32,2,7,0.4,0.6445439724707478,0.184044564468841
3,2024,12,0.005425811302856902,32,64,1,3,0.4,0.6443713870801014,0.20038127033451594
4,2024,16,0.002254848165197095,32,64,2,3,0.2,0.6206537751290045,0.16809168181564432
5,2024,16,0.0029725817190668037,16,32,2,7,0.1,0.6458216163444063,0.1860670675449383
6,2024,12,0.00020818506731693845,32,64,2,7,0.30000000000000004,0.6406719590575822,0.18365424061145244
7,2024,16,0.000190487501982491,32,32,3,3,0.0,0.6963677799037624,0.19507320118768012
8,2024,4,0.0016528416477972748,16,32,2,3,0.2,0.6533508011022416,0.17806106885880915
9,2024,4,0.0002237683439575512,16,32,3,7,0.2,0.6736585780606328,0.17197671720408375
10,2024,16,0.0006154709415468628,32,128,1,5,0.0,0.640410986507904,0.17937434584732645
11,2024,16,0.0008257342457158097,32,128,1,5,0.0,0.641027334236887,0.197936693858866
12,2024,16,0.0006092410963879744,32,128,1,5,0.1,0.6346884152607953,0.17686794591500604
13,2024,16,0.0004814544674299998,32,128,1,5,0.2,0.635927816624623,0.20497688395849356
14,2024,16,0.0017821255223895978,32,64,2,5,0.1,0.622167112761561,0.19899675953887738
