seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Amazonas,2022-04-18,1,1.1140549
42,1,2022,Antioquia,2022-04-18,1,-0.19136855
42,1,2022,Arauca,2022-04-18,1,-0.18116844
42,1,2022,Atlantico,2022-04-18,1,0.22649348
42,1,2022,Bogota d.c.,2022-04-18,1,-0.14296691
42,1,2022,Bolivar,2022-04-18,1,0.56600463
42,1,2022,Boyaca,2022-04-18,1,0.027088046
42,1,2022,Caldas,2022-04-18,1,0.10542539
42,1,2022,Caqueta,2022-04-18,1,0.7288244
42,1,2022,Casanare,2022-04-18,1,1.0785007
42,1,2022,Cauca,2022-04-18,1,0.07260582
42,1,2022,Cesar,2022-04-18,1,0.37673438
42,1,2022,Choco,2022-04-18,1,0.92232126
42,1,2022,Cordoba,2022-04-18,1,0.5018502
42,1,2022,Cundinamarca,2022-04-18,1,-0.6373652
42,1,2022,Guainia,2022-04-18,1,-0.17074263
42,1,2022,Guajira,2022-04-18,1,0.009928644
42,1,2022,Guaviare,2022-04-18,1,-0.58711326
42,1,2022,Huila,2022-04-18,1,-0.91694987
42,1,2022,Magdalena,2022-04-18,1,-0.28450763
42,1,2022,Meta,2022-04-18,1,-0.67698026
42,1,2022,Narino,2022-04-18,1,0.5138819
42,1,2022,Norte De Santander,2022-04-18,1,-0.5292101
42,1,2022,Putumayo,2022-04-18,1,-0.05115497
42,1,2022,Quindio,2022-04-18,1,-0.54207987
42,1,2022,Risaralda,2022-04-18,1,0.15329036
42,1,2022,Santander,2022-04-18,1,-0.877403
42,1,2022,Sucre,2022-04-18,1,0.7901255
42,1,2022,Tolima,2022-04-18,1,-0.6942997
42,1,2022,Valle Del Cauca,2022-04-18,1,0.045744896
42,1,2022,Vaupes,2022-04-18,1,-0.6983534
42,1,2022,Vichada,2022-04-18,1,-0.64673644
42,1,2022,Amazonas,2022-04-18,2,0.33509374
42,1,2022,Antioquia,2022-04-18,2,0.03442496
42,1,2022,Arauca,2022-04-18,2,-0.5850755
42,1,2022,Atlantico,2022-04-18,2,0.29198754
42,1,2022,Bogota d.c.,2022-04-18,2,-0.16162524
42,1,2022,Bolivar,2022-04-18,2,0.8386827
42,1,2022,Boyaca,2022-04-18,2,-0.28137478
42,1,2022,Caldas,2022-04-18,2,0.1981034
42,1,2022,Caqueta,2022-04-18,2,1.4019217
42,1,2022,Casanare,2022-04-18,2,0.7588506
42,1,2022,Cauca,2022-04-18,2,0.5267712
42,1,2022,Cesar,2022-04-18,2,0.40574336
42,1,2022,Choco,2022-04-18,2,1.0587014
42,1,2022,Cordoba,2022-04-18,2,0.621992
42,1,2022,Cundinamarca,2022-04-18,2,-0.6038922
42,1,2022,Guainia,2022-04-18,2,0.40561366
42,1,2022,Guajira,2022-04-18,2,0.43539864
42,1,2022,Guaviare,2022-04-18,2,-0.1357987
42,1,2022,Huila,2022-04-18,2,-0.9506278
42,1,2022,Magdalena,2022-04-18,2,-0.13062418
42,1,2022,Meta,2022-04-18,2,-0.97615755
42,1,2022,Narino,2022-04-18,2,-0.030850768
42,1,2022,Norte De Santander,2022-04-18,2,-0.5016465
42,1,2022,Putumayo,2022-04-18,2,-0.35220087
42,1,2022,Quindio,2022-04-18,2,-0.4910915
42,1,2022,Risaralda,2022-04-18,2,-0.25532594
42,1,2022,Santander,2022-04-18,2,-0.83472383
42,1,2022,Sucre,2022-04-18,2,0.7514552
42,1,2022,Tolima,2022-04-18,2,-0.46856463
42,1,2022,Valle Del Cauca,2022-04-18,2,0.052387774
42,1,2022,Vaupes,2022-04-18,2,-0.70350575
42,1,2022,Vichada,2022-04-18,2,-0.75116307
42,1,2022,Amazonas,2022-04-18,3,0.43494904
42,1,2022,Antioquia,2022-04-18,3,0.044664472
42,1,2022,Arauca,2022-04-18,3,-0.47595358
42,1,2022,Atlantico,2022-04-18,3,0.47318038
42,1,2022,Bogota d.c.,2022-04-18,3,-0.19791237
42,1,2022,Bolivar,2022-04-18,3,0.95942247
42,1,2022,Boyaca,2022-04-18,3,-0.08172375
42,1,2022,Caldas,2022-04-18,3,-0.15566257
42,1,2022,Caqueta,2022-04-18,3,1.1649095
42,1,2022,Casanare,2022-04-18,3,0.92029285
42,1,2022,Cauca,2022-04-18,3,0.30198133
42,1,2022,Cesar,2022-04-18,3,0.54406583
42,1,2022,Choco,2022-04-18,3,0.85971177
42,1,2022,Cordoba,2022-04-18,3,0.77981025
42,1,2022,Cundinamarca,2022-04-18,3,-0.5699946
42,1,2022,Guainia,2022-04-18,3,-0.9522171
42,1,2022,Guajira,2022-04-18,3,0.6318338
42,1,2022,Guaviare,2022-04-18,3,-0.3004321
42,1,2022,Huila,2022-04-18,3,-0.6868255
42,1,2022,Magdalena,2022-04-18,3,0.19863331
42,1,2022,Meta,2022-04-18,3,-0.54059374
42,1,2022,Narino,2022-04-18,3,0.015483618
42,1,2022,Norte De Santander,2022-04-18,3,-0.6368511
42,1,2022,Putumayo,2022-04-18,3,-0.53798056
42,1,2022,Quindio,2022-04-18,3,-0.5546901
42,1,2022,Risaralda,2022-04-18,3,-0.21429226
42,1,2022,Santander,2022-04-18,3,-0.6895965
42,1,2022,Sucre,2022-04-18,3,1.2297834
42,1,2022,Tolima,2022-04-18,3,-0.56319773
42,1,2022,Valle Del Cauca,2022-04-18,3,-0.04013157
42,1,2022,Vaupes,2022-04-18,3,-0.7256923
42,1,2022,Vichada,2022-04-18,3,-0.4592405
42,1,2022,Amazonas,2022-04-18,4,0.011398554
42,1,2022,Antioquia,2022-04-18,4,0.071404755
42,1,2022,Arauca,2022-04-18,4,-0.0019054413
42,1,2022,Atlantico,2022-04-18,4,0.51805985
42,1,2022,Bogota d.c.,2022-04-18,4,-0.17489833
42,1,2022,Bolivar,2022-04-18,4,1.2027662
42,1,2022,Boyaca,2022-04-18,4,-0.11701059
42,1,2022,Caldas,2022-04-18,4,0.008740604
42,1,2022,Caqueta,2022-04-18,4,1.122018
42,1,2022,Casanare,2022-04-18,4,1.0023406
42,1,2022,Cauca,2022-04-18,4,0.59776723
42,1,2022,Cesar,2022-04-18,4,0.32670057
42,1,2022,Choco,2022-04-18,4,0.7117344
42,1,2022,Cordoba,2022-04-18,4,0.88562894
42,1,2022,Cundinamarca,2022-04-18,4,-0.6710184
42,1,2022,Guainia,2022-04-18,4,0.12451178
42,1,2022,Guajira,2022-04-18,4,0.92164356
42,1,2022,Guaviare,2022-04-18,4,-0.3712176
42,1,2022,Huila,2022-04-18,4,-0.7879926
42,1,2022,Magdalena,2022-04-18,4,-0.18141782
42,1,2022,Meta,2022-04-18,4,-0.758559
42,1,2022,Narino,2022-04-18,4,0.22575364
42,1,2022,Norte De Santander,2022-04-18,4,-0.4772781
42,1,2022,Putumayo,2022-04-18,4,-0.39116526
42,1,2022,Quindio,2022-04-18,4,-0.5637217
42,1,2022,Risaralda,2022-04-18,4,-0.020629078
42,1,2022,Santander,2022-04-18,4,-0.555457
42,1,2022,Sucre,2022-04-18,4,1.3702927
42,1,2022,Tolima,2022-04-18,4,-0.72628427
42,1,2022,Valle Del Cauca,2022-04-18,4,0.029773355
42,1,2022,Vaupes,2022-04-18,4,-0.7695686
42,1,2022,Vichada,2022-04-18,4,-1.4214276
42,1,2022,Amazonas,2022-04-25,1,0.5600811
42,1,2022,Antioquia,2022-04-25,1,-0.05429855
42,1,2022,Arauca,2022-04-25,1,-0.4796728
42,1,2022,Atlantico,2022-04-25,1,0.31917357
42,1,2022,Bogota d.c.,2022-04-25,1,-0.17381388
42,1,2022,Bolivar,2022-04-25,1,0.7298833
42,1,2022,Boyaca,2022-04-25,1,-0.15644056
42,1,2022,Caldas,2022-04-25,1,0.22815305
42,1,2022,Caqueta,2022-04-25,1,1.4124424
42,1,2022,Casanare,2022-04-25,1,0.94260275
42,1,2022,Cauca,2022-04-25,1,0.54291105
42,1,2022,Cesar,2022-04-25,1,0.34153616
42,1,2022,Choco,2022-04-25,1,1.1606735
42,1,2022,Cordoba,2022-04-25,1,0.5772637
42,1,2022,Cundinamarca,2022-04-25,1,-0.5592427
42,1,2022,Guainia,2022-04-25,1,0.46315074
42,1,2022,Guajira,2022-04-25,1,0.36223495
42,1,2022,Guaviare,2022-04-25,1,-0.063154936
42,1,2022,Huila,2022-04-25,1,-0.8798659
42,1,2022,Magdalena,2022-04-25,1,-0.22239137
42,1,2022,Meta,2022-04-25,1,-0.87966645
42,1,2022,Narino,2022-04-25,1,0.03644806
42,1,2022,Norte De Santander,2022-04-25,1,-0.6263504
42,1,2022,Putumayo,2022-04-25,1,-0.28196263
42,1,2022,Quindio,2022-04-25,1,-0.6470308
42,1,2022,Risaralda,2022-04-25,1,-0.1116066
42,1,2022,Santander,2022-04-25,1,-0.8497757
42,1,2022,Sucre,2022-04-25,1,0.8008467
42,1,2022,Tolima,2022-04-25,1,-0.5444387
42,1,2022,Valle Del Cauca,2022-04-25,1,0.022040904
42,1,2022,Vaupes,2022-04-25,1,-0.5759845
42,1,2022,Vichada,2022-04-25,1,-0.5940278
42,1,2022,Amazonas,2022-04-25,2,0.5881233
42,1,2022,Antioquia,2022-04-25,2,0.06360927
42,1,2022,Arauca,2022-04-25,2,-0.46757042
42,1,2022,Atlantico,2022-04-25,2,0.30986482
42,1,2022,Bogota d.c.,2022-04-25,2,-0.20549053
42,1,2022,Bolivar,2022-04-25,2,1.0062273
42,1,2022,Boyaca,2022-04-25,2,-0.0633626
