trial,seed,fold,rmse,error_mean,error_std
0,42,0,0.586100822574876,0.14125458896160126,0.5688245296478271
0,42,1,0.37528009682944397,0.056255362927913666,0.3710397481918335
0,42,2,0.33200883228692857,0.06186841055750847,0.3261934518814087
1,42,0,0.7288090828162092,0.09820421040058136,0.7221624255180359
1,42,1,0.41983847566165794,0.21023869514465332,0.3634061813354492
1,42,2,0.4933497466463927,0.2665376365184784,0.41515257954597473
0,42,0,0.586100822574876,0.14125458896160126,0.5688245296478271
0,42,1,0.37528009682944397,0.056255362927913666,0.3710397481918335
0,42,2,0.33200883228692857,0.06186841055750847,0.3261934518814087
1,42,0,0.7288090828162092,0.09820421040058136,0.7221624255180359
1,42,1,0.41983847566165794,0.21023869514465332,0.3634061813354492
1,42,2,0.4933497466463927,0.2665376365184784,0.41515257954597473
0,42,0,0.5850394423955344,0.15533746778964996,0.5640402436256409
0,42,1,0.4304310174594837,0.12026818096637726,0.41328734159469604
0,42,2,0.32105222048277493,0.03913653641939163,0.31865790486335754
1,42,0,0.724536655612349,0.47638124227523804,0.5459067821502686
1,42,1,0.3847179286459369,0.2014104723930359,0.3277829885482788
1,42,2,0.3317809788556485,-0.08033166080713272,0.3219090700149536
2,42,0,0.5306309290578266,0.08112934231758118,0.5243922472000122
2,42,1,0.37528861383536405,-0.05889114737510681,0.3706391453742981
2,42,2,0.36907183293776563,0.03446195274591446,0.36745938658714294
3,42,0,0.5360581531897699,0.08148427307605743,0.5298289060592651
3,42,1,0.38749172524877046,0.04853588342666626,0.38444000482559204
3,42,2,0.3842044552769111,0.1626734882593155,0.34806665778160095
4,42,0,0.5501077199699679,0.17769655585289001,0.5206173658370972
4,42,1,0.6463999160039489,0.5250896215438843,0.3769797384738922
4,42,2,0.3289992062919979,0.08150497823953629,0.318743497133255
5,42,0,0.5592117625479719,0.08128318935632706,0.5532728433609009
5,42,1,0.33845864769686473,0.03286516293883324,0.33685922622680664
5,42,2,0.32401643898403587,0.05392947420477867,0.31949689984321594
6,42,0,0.522947623057206,0.1546960175037384,0.49954313039779663
6,42,1,0.32046898066727675,-0.026915060356259346,0.31933674216270447
6,42,2,0.3206295909515728,-0.002879189560189843,0.3206166625022888
7,42,0,0.5560617749935233,0.11653206497430801,0.5437140464782715
7,42,1,0.38902351153400117,0.14612993597984314,0.36053475737571716
7,42,2,0.33091572008155257,0.052415478974580765,0.326738178730011
8,42,0,0.5274282882180729,0.1021469384431839,0.5174424052238464
8,42,1,0.3807781230624372,0.0875699520111084,0.3705718219280243
8,42,2,0.3192587359606532,0.041615020483732224,0.3165348768234253
9,42,0,0.6634736311170915,0.37623414397239685,0.5464842915534973
9,42,1,0.38219893194335824,-0.1378808468580246,0.35646161437034607
9,42,2,0.3672354240796902,-0.13440842926502228,0.34175461530685425
10,42,0,0.5196363299806809,-0.05664902180433273,0.5165392756462097
10,42,1,0.3288592116909697,-0.02812509797513485,0.32765433192253113
10,42,2,0.3501909097202199,0.09035216271877289,0.3383343815803528
11,42,0,0.5337127932549973,0.22745279967784882,0.48281940817832947
11,42,1,0.5498532261943809,0.45495274662971497,0.30879855155944824
11,42,2,0.32162634124061074,0.00951229315251112,0.32148563861846924
12,42,0,0.49223948007427204,0.17503179609775543,0.46006911993026733
12,42,1,0.3201636573340459,0.04678921401500702,0.3167262673377991
12,42,2,0.3144464314382155,0.001940441899932921,0.31444042921066284
13,42,0,0.5399858334678727,0.2179749757051468,0.4940360486507416
13,42,1,0.3606651822914267,-0.125961571931839,0.33795422315597534
13,42,2,0.3228210979472517,0.06632503122091293,0.3159342408180237
14,42,0,0.5157398327201116,0.20076584815979004,0.47505858540534973
14,42,1,0.3820193111371807,0.23887720704078674,0.29812148213386536
14,42,2,0.34226798151872895,-0.1299658715724945,0.3166326582431793
15,42,0,0.5197789455021696,0.11636421829462051,0.5065861344337463
15,42,1,0.3772591845605876,-0.02341325953602791,0.3765319585800171
15,42,2,0.35233889785775135,0.089658722281456,0.3407403826713562
16,42,0,0.5234776951174342,0.08555727452039719,0.5164386034011841
16,42,1,0.3375422605794113,-0.13227497041225433,0.31054484844207764
16,42,2,0.3269502865247671,-0.06571980565786362,0.32027706503868103
17,42,0,0.5071975505817847,0.07397264242172241,0.501774251461029
17,42,1,0.36157704619982795,-0.07321246713399887,0.3540874421596527
17,42,2,0.3267584682715677,-0.09696104377508163,0.31204110383987427
18,42,0,0.5284730757384635,0.12487633526325226,0.5135072469711304
18,42,1,0.3220317801332807,0.10262970626354218,0.3052402436733246
18,42,2,0.3145522085901781,-0.04009895771741867,0.3119858503341675
19,42,0,0.47049193967123487,0.017290472984313965,0.4701741337776184
19,42,1,0.33249248557096556,-0.13516759872436523,0.3037778437137604
19,42,2,0.3205807655710252,0.06359215080738068,0.3142102062702179
20,42,0,0.47620440928193397,0.0077242786064744,0.4761417508125305
20,42,1,0.3787048040309432,0.22594799101352692,0.3039158284664154
20,42,2,0.3398772036869262,0.08641938120126724,0.32870686054229736
21,42,0,0.8027775513855095,0.14485570788383484,0.7896002531051636
21,42,1,0.5361159136111784,-0.35646963119506836,0.4004368185997009
21,42,2,0.5244943852064995,-0.04926202818751335,0.5221757888793945
22,42,0,0.5012966865810529,-0.029261460527777672,0.5004419088363647
22,42,1,0.4040628576018956,0.21617045998573303,0.34137535095214844
22,42,2,0.3272894711889249,-0.07890903204679489,0.31763461232185364
23,42,0,0.4902875499078657,-0.0843280628323555,0.48298099637031555
23,42,1,0.4211761726580444,-0.19422949850559235,0.3737168312072754
23,42,2,0.3616891655245004,0.05161985754966736,0.3579866588115692
24,42,0,0.6638754188451521,0.13712359964847565,0.6495596170425415
24,42,1,0.3466709511959033,-0.053512703627347946,0.34251588582992554
24,42,2,0.35202745844479194,0.07839588820934296,0.343187153339386
25,42,0,0.7827901916980037,0.22295910120010376,0.7503663897514343
25,42,1,0.5746493120143393,-0.3827809691429138,0.42860302329063416
25,42,2,0.5099114103603787,-0.18422318994998932,0.4754697382450104
26,42,0,0.4881798295549174,-0.01324189268052578,0.48800018429756165
26,42,1,0.3465942814893141,0.051134143024683,0.3428015410900116
26,42,2,0.3164239336888395,-0.02818881720304489,0.31516581773757935
27,42,0,0.5178949789732294,0.18422453105449677,0.48402121663093567
27,42,1,0.36409729394292156,0.08139535039663315,0.35488253831863403
27,42,2,0.34788783000557433,-0.11548855900764465,0.32815900444984436
28,42,0,0.5186130181962941,0.22154563665390015,0.46891042590141296
28,42,1,0.38209142698550685,0.16405238211154938,0.3450806736946106
28,42,2,0.32808082146918827,0.01999131590127945,0.32747116684913635
29,42,0,0.5166482886255499,0.13702066242694855,0.4981473386287689
29,42,1,0.3242119018566819,-0.01812240481376648,0.3237050175666809
29,42,2,0.31074239465885223,-0.03573426231741905,0.3086808919906616
0,123,0,0.5554813560632786,-0.031719811260700226,0.5545749664306641
0,123,1,0.34631062594865186,0.07033485919237137,0.3390929698944092
0,123,2,0.36341654401405493,-0.11816719174385071,0.3436685800552368
1,123,0,0.5139312379444635,0.16382697224617004,0.4871201515197754
1,123,1,0.35153519206482264,-0.015344491228461266,0.351200133562088
1,123,2,0.3191467564716373,0.05279841274023056,0.3147490918636322
2,123,0,0.5096646789924096,0.07803972065448761,0.5036544799804688
2,123,1,0.3186197210991764,0.12477799504995346,0.2931705415248871
2,123,2,0.33934771851396145,-0.083035409450531,0.32903188467025757
3,123,0,0.5040155632269006,0.08958817273378372,0.4959895610809326
3,123,1,0.33296721314425076,0.12408392876386642,0.3089827597141266
3,123,2,0.31237435199079583,-0.05048418790102005,0.30826786160469055
4,123,0,0.759010351406974,0.5004099607467651,0.5706895589828491
4,123,1,0.49766265409891347,0.33031710982322693,0.3722347617149353
4,123,2,0.39546414357927295,-0.12504138052463531,0.3751753568649292
5,123,0,0.5577926226154374,0.14078578352928162,0.5397332310676575
5,123,1,0.38404001277214145,0.12422657012939453,0.36339300870895386
5,123,2,0.34414856735919475,-0.06590073555707932,0.3377799689769745
6,123,0,0.570574295364959,-0.11695823073387146,0.5584584474563599
6,123,1,0.4394508700842756,-0.22712646424770355,0.37620559334754944
6,123,2,0.33963059723446426,0.10400649160146713,0.32331347465515137
7,123,0,0.4937712755327479,0.1738918125629425,0.46213820576667786
7,123,1,0.3088664166088816,-0.08402825891971588,0.29721659421920776
7,123,2,0.3376534130960503,0.11234115809202194,0.3184168338775635
8,123,0,1.0703980905879316,0.4735086262226105,0.9599696397781372
8,123,1,0.614652643228742,-0.2552315592765808,0.5591554045677185
8,123,2,0.6525402115894786,-0.20054419338703156,0.6209595203399658
9,123,0,0.5020932250677513,0.18034857511520386,0.4685850739479065
9,123,1,0.2982124518639116,-0.015052990056574345,0.29783228039741516
9,123,2,0.3163500253148594,0.0005664518103003502,0.3163495361804962
10,123,0,0.5911106373620505,0.10744889080524445,0.5812628865242004
10,123,1,0.3415065949628416,0.08164923638105392,0.33160239458084106
10,123,2,0.33829787964504526,0.05247175693511963,0.3342037796974182
11,123,0,0.5142292436371124,0.2097892165184021,0.46948930621147156
11,123,1,0.32003022758947103,-0.04985567927360535,0.31612300872802734
11,123,2,0.31643314011832874,-0.02795442007482052,0.3151959478855133
12,123,0,0.4979822902316826,0.17316702008247375,0.4669042229652405
12,123,1,0.3197994775884726,-0.08986522257328033,0.3069135844707489
12,123,2,0.3245539942757567,-0.022191183641552925,0.323794424533844
13,123,0,0.4938716080755969,0.10834568738937378,0.4818406105041504
13,123,1,0.3117364017966952,0.08100464940071106,0.30102795362472534
13,123,2,0.3270185525892439,0.08861301839351654,0.31478381156921387
14,123,0,0.6200410090235493,0.36253687739372253,0.5030088424682617
14,123,1,0.43344202909736756,0.03441886603832245,0.43207329511642456
14,123,2,0.4326080080182218,0.252496600151062,0.3512764871120453
15,123,0,0.543396705644974,0.09340403228998184,0.5353090167045593
15,123,1,0.3418201220644842,0.11351186782121658,0.32242217659950256
15,123,2,0.3273206001599329,0.04108770191669464,0.3247315585613251
16,123,0,0.5092430505517157,0.10359741002321243,0.49859410524368286
16,123,1,0.349800419954459,-0.15911515057086945,0.31151676177978516
16,123,2,0.3443432154240636,0.12585140764713287,0.32052096724510193
17,123,0,0.545058694706124,0.12833337485790253,0.5297353267669678
17,123,1,0.4024204625449464,-0.23846393823623657,0.3241560757160187
17,123,2,0.3560252601737767,0.09489356726408005,0.3431459963321686
18,123,0,0.5542338221834024,0.05855080485343933,0.5511323809623718
18,123,1,0.3673119029880337,0.06473415344953537,0.3615626096725464
18,123,2,0.32160090470151187,0.02786407247185707,0.32039153575897217
19,123,0,0.47547330051216474,0.11705469340085983,0.46083950996398926
19,123,1,0.3150804552767216,-0.01819661259651184,0.3145545721054077
19,123,2,0.3786217122569617,0.04222405329346657,0.3762599229812622
20,123,0,0.5719529948177744,0.15576927363872528,0.55033278465271
20,123,1,0.33311492002885623,-0.1102605015039444,0.31433767080307007
20,123,2,0.3235783284195105,0.0632062554359436,0.3173450827598572
21,123,0,0.49741013158515673,0.20014286041259766,0.4553676247596741
21,123,1,0.3088129689410505,0.05970609188079834,0.30298617482185364
21,123,2,0.3509307801748878,0.13938824832439423,0.32206109166145325
22,123,0,0.5412476795930877,0.22124822437763214,0.49396181106567383
22,123,1,0.3055616335131882,-0.054916925728321075,0.30058616399765015
22,123,2,0.32190613781210764,0.022917145863175392,0.32108932733535767
23,123,0,0.498395251932076,0.16743291914463043,0.46942949295043945
23,123,1,0.36481361836531084,0.19943338632583618,0.3054755628108978
23,123,2,0.32208761442866907,-0.04579384997487068,0.31881552934646606
24,123,0,0.5377964133960524,0.13336612284183502,0.5209975242614746
24,123,1,0.3044304619376751,0.04896363615989685,0.3004670739173889
24,123,2,0.3167873018937364,0.021471410989761353,0.31605881452560425
25,123,0,0.477928096767034,-0.005889009218662977,0.47789180278778076
25,123,1,0.418002688732352,-0.2741977572441101,0.31550249457359314
25,123,2,0.31512585347266947,-0.053760889917612076,0.310506135225296
26,123,0,0.5394503262590183,-0.02395728789269924,0.5389180779457092
26,123,1,0.38493477061314074,-0.20074695348739624,0.3284439444541931
26,123,2,0.33518547339736304,0.009444309398531914,0.33505237102508545
27,123,0,0.5594152265608116,0.2792118787765503,0.48475366830825806
27,123,1,0.31532857591160046,0.05296381562948227,0.31084874272346497
27,123,2,0.32331359858153863,-0.08616526424884796,0.3116203248500824
28,123,0,0.4791445588802986,-0.001950293080881238,0.47914057970046997
28,123,1,0.32046107591268785,-0.02789253368973732,0.319244921207428
28,123,2,0.3319705234420248,-0.012890158221125603,0.33172017335891724
29,123,0,0.49867022531252364,0.018955111503601074,0.498309850692749
29,123,1,0.33826303631246035,0.038246430456638336,0.33609387278556824
29,123,2,0.34809333670972004,-0.13398204743862152,0.3212752342224121
0,2024,0,0.5659799747547161,0.03908446431159973,0.5646288394927979
0,2024,1,0.3539260041911026,-0.06336864084005356,0.34820687770843506
0,2024,2,0.32568883248252223,0.03745646774768829,0.3235277831554413
1,2024,0,0.645063261618773,0.20149464905261993,0.6127858757972717
1,2024,1,0.4799048984213206,0.362878680229187,0.3140505850315094
1,2024,2,0.32964454479520594,0.006920529063791037,0.3295719027519226
2,2024,0,0.5627487215530061,0.07101847231388092,0.5582494735717773
2,2024,1,0.328394200386273,-0.0046804300509393215,0.32836082577705383
2,2024,2,0.32299891188455954,0.009294919669628143,0.32286515831947327
3,2024,0,0.5003948440790797,0.03721585124731064,0.49900898337364197
3,2024,1,0.33951091910880726,-0.03638724237680435,0.3375553786754608
3,2024,2,0.30406470102922983,-0.01682026870548725,0.303599089384079
4,2024,0,0.5667917452474245,0.05400650575757027,0.5642128586769104
4,2024,1,0.4792990829802427,-0.3425149917602539,0.33527764678001404
4,2024,2,0.32080081608741606,-0.011404200457036495,0.3205980360507965
5,2024,0,0.8035885983101148,0.5383315682411194,0.5966185927391052
5,2024,1,0.4093431860814097,0.25908827781677246,0.31691497564315796
5,2024,2,0.3221597902312708,0.06944539397954941,0.3145858645439148
6,2024,0,0.6330102211336416,-0.04107867553830147,0.6316758990287781
6,2024,1,0.3172354605546772,-0.07611988484859467,0.3079676926136017
6,2024,2,0.3198226113315403,-0.009576906450092793,0.3196792006492615
7,2024,0,0.5927235363941834,0.17231813073158264,0.567122220993042
7,2024,1,0.3331805477565499,0.004774743691086769,0.333146333694458
7,2024,2,0.34472705959900196,0.10707195103168488,0.3276771903038025
8,2024,0,0.5347336820169842,0.07785715907812119,0.5290353298187256
8,2024,1,0.5345339811869151,0.34461119771003723,0.4086192846298218
8,2024,2,0.32782052309383997,0.06136399507522583,0.3220260441303253
9,2024,0,0.553773180172904,-0.0562211312353611,0.5509119629859924
9,2024,1,0.39139361104146325,0.14445866644382477,0.3637590706348419
9,2024,2,0.347231315917567,0.1008794754743576,0.3322542905807495
10,2024,0,0.4984095730028279,0.09725725650787354,0.4888283610343933
10,2024,1,0.35042812865415185,-0.13936243951320648,0.321524441242218
10,2024,2,0.3179795509397207,-0.027995528653264046,0.31674477458000183
11,2024,0,0.48737223124592055,0.19573114812374115,0.44634178280830383
11,2024,1,0.322471610619882,0.07306496798992157,0.31408509612083435
11,2024,2,0.3247158536931443,-0.06491101533174515,0.31816181540489197
12,2024,0,0.5021579784553717,0.20961230993270874,0.45631712675094604
12,2024,1,0.3180368463016919,-0.026212384924292564,0.3169547915458679
12,2024,2,0.3141324677033195,-0.041507985442876816,0.3113780617713928
13,2024,0,0.5063172849045982,0.19693288207054138,0.46644896268844604
13,2024,1,0.32327329134467053,-0.046810124069452286,0.3198662996292114
13,2024,2,0.32324391621015036,-0.058840107172727585,0.3178434669971466
14,2024,0,0.4747504193493446,0.07680075615644455,0.4684971570968628
14,2024,1,0.3266935231682762,0.09561872482299805,0.3123871088027954
14,2024,2,0.3313104659800473,0.11489272862672806,0.31075114011764526
15,2024,0,0.5202817443830643,-0.024635065346956253,0.5196982026100159
15,2024,1,0.3079789471692054,0.03602539375424385,0.3058646619319916
15,2024,2,0.31525536789888203,0.019499626010656357,0.3146517276763916
16,2024,0,0.4828449972876159,0.1521158218383789,0.45825764536857605
16,2024,1,0.30410466324261143,-0.010516160167753696,0.30392277240753174
16,2024,2,0.3386954166277654,-0.12439900636672974,0.3150229752063751
17,2024,0,0.46999505314354173,0.15812036395072937,0.4425983726978302
17,2024,1,0.312204829528319,-0.05973030999302864,0.30643782019615173
17,2024,2,0.32072216679012033,0.05969632789492607,0.3151175081729889
18,2024,0,0.4726980837129245,0.0016988383140414953,0.4726950228214264
18,2024,1,0.3511551828628733,-0.08405596762895584,0.3409465551376343
18,2024,2,0.32262668612725715,0.08488209545612335,0.3112603425979614
19,2024,0,0.48379906900812264,0.0076010399498045444,0.48373934626579285
19,2024,1,0.3779368436860331,-0.12392361462116241,0.3570422828197479
19,2024,2,0.3630220247173417,-0.16004624962806702,0.3258377015590668
20,2024,0,0.5505270134450535,0.28798168897628784,0.46919772028923035
20,2024,1,0.3988726240808777,0.15947802364826202,0.3656037747859955
20,2024,2,0.3559840732344299,0.08218896389007568,0.3463663160800934
21,2024,0,0.46690586046820876,0.013436534442007542,0.46671250462532043
21,2024,1,0.356522496893971,0.17731522023677826,0.30930179357528687
21,2024,2,0.36100472076134915,0.17682544887065887,0.31473350524902344
22,2024,0,0.4780982084808822,-0.05569262057542801,0.4748433828353882
22,2024,1,0.3305842903291797,0.12469089031219482,0.3061668574810028
22,2024,2,0.3366140605566935,0.022352200001478195,0.3358711004257202
23,2024,0,0.5035546428990227,0.06387339532375336,0.4994871914386749
23,2024,1,0.3230464838433809,0.07402574270963669,0.3144506514072418
23,2024,2,0.3161285853931138,0.030284849926829338,0.31467461585998535
24,2024,0,0.48127268390947314,0.1870294064283371,0.4434449374675751
24,2024,1,0.31645548402124246,-0.06936013698577881,0.3087608218193054
24,2024,2,0.31254526048962333,0.058382123708724976,0.30704405903816223
25,2024,0,0.5084582111569295,0.07308700680732727,0.5031779408454895
25,2024,1,0.3147555490387915,-0.041112933307886124,0.3120589554309845
25,2024,2,0.3382472983715492,0.11668078601360321,0.31748515367507935
26,2024,0,0.5518724170594129,0.1641782522201538,0.5268858075141907
26,2024,1,0.37965507839850104,0.17968186736106873,0.33444342017173767
26,2024,2,0.3119848057657033,-0.0006858412525616586,0.3119840621948242
27,2024,0,0.5335647418737036,0.24668119847774506,0.47311705350875854
27,2024,1,0.3402562433303443,0.03325464576482773,0.33862727880477905
27,2024,2,0.35770134344512533,-0.0337136946618557,0.35610902309417725
28,2024,0,0.47043864944133107,-0.044943202286958694,0.46828693151474
28,2024,1,0.32243510327055663,0.07022127509117126,0.31469568610191345
28,2024,2,0.33397749285829476,0.08823978900909424,0.32210978865623474
29,2024,0,0.4950948254954561,-0.06690217554569244,0.49055373668670654
29,2024,1,0.33968065447959095,0.08838453143835068,0.3279803693294525
29,2024,2,0.31585798917584784,0.03948081284761429,0.31338080763816833
