trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
0,42,8,0.0002051338263087451,16,32,1,3,0.0,0.43112991723041616,0.11099575580846391
1,42,12,0.0003823475224675188,16,128,3,7,0.0,0.5473324350414199,0.1317859552611202
0,42,8,0.0002051338263087451,16,32,1,3,0.0,0.43112991723041616,0.11099575580846391
1,42,12,0.0003823475224675188,16,128,3,7,0.0,0.5473324350414199,0.1317859552611202
0,42,8,0.0002051338263087451,16,32,1,3,0.0,0.44550756011259773,0.10829832235414207
1,42,12,0.0003823475224675188,16,128,3,7,0.0,0.4803451877046448,0.1740166369679719
2,42,16,0.00853618986286683,16,64,1,7,0.1,0.42499712527698547,0.07473748487021814
3,42,4,0.00023426581058204064,16,32,3,5,0.1,0.4359181112384838,0.07082241894330248
4,42,12,0.0003646439558980723,16,128,3,7,0.30000000000000004,0.5085022807553049,0.13287603762052383
5,42,8,0.0001705053926026929,16,32,1,7,0.2,0.40722894974295754,0.10762969196654258
6,42,12,0.003482846706526885,32,32,1,3,0.4,0.38801539822535186,0.095411513709375
7,42,12,0.00014254757044027455,16,32,3,7,0.2,0.4253336688696923,0.09543412092437735
8,42,8,0.000285673742984719,32,32,2,7,0.4,0.40915504908038774,0.0873215439985453
9,42,12,0.008781408196485976,16,32,1,3,0.1,0.47096932904671335,0.1362581040491392
10,42,16,0.002510441004250465,32,64,2,3,0.4,0.3995621504639568,0.08535071479944241
11,42,16,0.003085473344630512,32,64,2,3,0.4,0.4683974535633297,0.10399182004114174
12,42,16,0.0017522967285273662,32,64,2,3,0.4,0.37561652294884446,0.0824979081128545
13,42,4,0.0012228319210925516,32,64,2,3,0.30000000000000004,0.40782403790218363,0.09472098970246767
14,42,16,0.0027324685838808938,32,64,1,5,0.30000000000000004,0.4133423751253404,0.0742022980013127
15,42,12,0.0011434853385562413,32,128,2,3,0.4,0.41645900930683616,0.07376318903036354
16,42,16,0.004660473427410497,32,64,1,3,0.30000000000000004,0.3959900807405375,0.09025100680224313
17,42,4,0.0006299960164649499,32,64,2,3,0.2,0.39851102168439345,0.07815648625272754
