seed,outer_fold,test_year,departamento,fecha_base,horizonte,residual
42,1,2022,Amazonas,2022-04-18,1,0.8553089
42,1,2022,Antioquia,2022-04-18,1,-0.021222651
42,1,2022,Arauca,2022-04-18,1,0.8053764
42,1,2022,Atlantico,2022-04-18,1,-0.0029649734
42,1,2022,Bogota d.c.,2022-04-18,1,0.09431294
42,1,2022,Bolivar,2022-04-18,1,0.18072093
42,1,2022,Boyaca,2022-04-18,1,0.31505394
42,1,2022,Caldas,2022-04-18,1,0.15875372
42,1,2022,Caqueta,2022-04-18,1,-0.48183918
42,1,2022,Casanare,2022-04-18,1,0.10079169
42,1,2022,Cauca,2022-04-18,1,0.09337005
42,1,2022,Cesar,2022-04-18,1,0.22729206
42,1,2022,Choco,2022-04-18,1,0.34089667
42,1,2022,Cordoba,2022-04-18,1,0.32223248
42,1,2022,Cundinamarca,2022-04-18,1,-0.06317507
42,1,2022,Guainia,2022-04-18,1,-0.35125792
42,1,2022,Guajira,2022-04-18,1,-0.22897083
42,1,2022,Guaviare,2022-04-18,1,-0.4218017
42,1,2022,Huila,2022-04-18,1,-0.24391508
42,1,2022,Magdalena,2022-04-18,1,0.100670576
42,1,2022,Meta,2022-04-18,1,-0.020261526
42,1,2022,Narino,2022-04-18,1,0.4754902
42,1,2022,Norte De Santander,2022-04-18,1,0.12638378
42,1,2022,Putumayo,2022-04-18,1,-0.04345119
42,1,2022,Quindio,2022-04-18,1,-0.12672898
42,1,2022,Risaralda,2022-04-18,1,0.10042888
42,1,2022,Santander,2022-04-18,1,0.14273965
42,1,2022,Sucre,2022-04-18,1,0.050358653
42,1,2022,Tolima,2022-04-18,1,0.19288892
42,1,2022,Valle Del Cauca,2022-04-18,1,0.065826416
42,1,2022,Vaupes,2022-04-18,1,-0.021924734
42,1,2022,Vichada,2022-04-18,1,-0.20456219
42,1,2022,Amazonas,2022-04-18,2,0.2042309
42,1,2022,Antioquia,2022-04-18,2,0.070420355
42,1,2022,Arauca,2022-04-18,2,0.3797065
